trip_distance,fare_amount,winter,spring,summer,fall,PULongitude,PULatitude,DOLongitude,DOLatitude,pickup_datetime,dropoff_datetime,ride_duration,Early morning,Morning,Afternoon,Night,Holiday Proximity,label
4.7,16.5,0,1,0,0,-73.94582981800791,40.776534228995104,-73.9904776189691,40.7403134645878,2019-04-21 08:30:07,2019-04-21 08:44:32,0 days 00:14:25.000000000,0,1,0,0,0,F
1.43,8.5,0,0,0,1,-73.9898566508315,40.7622367556144,-73.9774318381095,40.758226481221705,2019-09-01 09:32:17,2019-09-01 09:41:49,0 days 00:09:32.000000000,0,1,0,0,0,C
3.8,17.5,0,1,0,0,-73.9841761608222,40.759844740029294,-73.9520653308923,40.8042048286288,2019-03-26 15:03:23,2019-03-26 15:26:05,0 days 00:22:42.000000000,0,0,1,0,1,G
0.8,7.5,0,0,0,1,-73.9852141243977,40.7279442789046,-73.9833103532463,40.737348376320796,2019-11-06 07:11:04,2019-11-06 07:20:34,0 days 00:09:30.000000000,0,1,0,0,0,C
1.39,8.0,0,1,0,0,-73.98135241373991,40.7739059853886,-73.9774318381095,40.758226481221705,2019-05-23 08:27:07,2019-05-23 08:37:17,0 days 00:10:10.000000000,0,1,0,0,0,C
0.4,5.0,1,0,0,0,-73.9841761608222,40.759844740029294,-73.9841761608222,40.759844740029294,2019-12-21 18:46:13,2019-12-21 18:51:50,0 days 00:05:37.000000000,0,0,0,0,0,B
0.7,7.0,0,0,1,0,-73.9841761608222,40.759844740029294,-73.98878589284921,40.753514091774605,2019-08-30 14:43:22,2019-08-30 14:52:10,0 days 00:08:48.000000000,0,0,1,0,0,B
1.6,9.0,0,1,0,0,-73.9383104968462,40.8055655654775,-73.9473675432227,40.827535259806,2019-03-16 22:37:58,2019-03-16 22:48:56,0 days 00:10:58.000000000,0,0,0,1,0,C
5.8,21.0,1,0,0,0,-73.9907183626618,40.719211674204395,-73.9512079916544,40.7784958687768,2019-02-24 02:19:38,2019-02-24 02:41:02,0 days 00:21:24.000000000,1,0,0,0,0,H
2.56,14.0,0,0,1,0,-73.97827334184859,40.7841073645538,-73.9774318381095,40.758226481221705,2019-06-06 22:08:58,2019-06-06 22:29:38,0 days 00:20:40.000000000,0,0,0,1,0,E
5.6,22.0,1,0,0,0,-73.9813007259727,40.602048984009706,-73.93773452015779,40.6439285192804,2019-02-03 12:07:31,2019-02-03 12:35:12,0 days 00:27:41.000000000,0,0,0,0,0,H
5.97,19.0,0,1,0,0,-74.00249690862721,40.734611555981395,-73.9655685290937,40.8020327729942,2019-03-18 01:21:35,2019-03-18 01:39:41,0 days 00:18:06.000000000,1,0,0,0,0,G
